101,,,
102,,,
103,,,
201,,,
301,,,
302,,,
401,,,
402,,,
403,,,
501,,,
601,,,
602,,,
603,,,
604,,,
2101,3.6876,6.5033,
2102,1.5688,4.3031,
901,,,
902,,,
903,,,
904,,,
1001,0.0973,,
1101,0.1576,,
2103,0.1712,1.5352,
1502,,,
1503,,,
1504,,,
1505,,,
1601,,,
1602,,,
1603,-0.0426,,
1604,-0.1112,,
2104,1.0347,1.305,
2202,0.2427,0.7918,t
2105,-0.4072,0.0432,t
2203,,,
2301,,,
2302,,,
2303,,,
2304,-0.1089,,
2401,2.8638,,
3101,-0.4829,-0.1282,f
2106,0.9014,0.0761,t
2107,0.1537,0.0752,t
2201,1.9376,0.4024,t
4101,,,
4102,,,
4103,,,
2402,0.75,,
2403,0.4109,1.2299,
2404,47.4722,3.5247,
2501,-1.0971,0.6827,
2502,0.752,0.689,
4104,,,
4201,0.1093,,
2601,-0.0923,0.5436,t
2602,-0.5329,-0.5092,f
3301,-0.5329,-0.5092,f
804,0.7806,0.2638,f
3201,0.7806,0.2638,f
1102,0.7371,,
1201,0.34,0.302,
1301,0.3031,0.3577,
1302,0.3344,0.4009,
1401,0.1651,0.2801,
1402,-0.0389,0.1833,t
1403,-0.4189,-0.0144,f
3401,-0.4189,-0.0144,f
1605,-0.0901,,
1701,0.4808,0.0396,
1702,0.1735,0.098,
1703,0.5895,0.2557,
1801,-0.0735,0.2694,
1901,0.2401,0.2172,t
1902,-0.7108,-0.0356,f
3501,-0.7108,-0.0356,f
3601,,,
3701,,,
3801,,,
3802,,,
605,0.0626,,
606,0.0292,,
607,0.013,,
608,0.0192,0.0299,
701,0.1207,0.044,
702,0.0421,0.0472,
703,0.115,0.0726,
704,-0.2607,-0.0016,f
801,0.1013,-0.0031,f
802,0.1887,0.035,t
803,0.1241,0.0395,t
3902,,,
4001,,,
4002,,,
4003,,,
2001,-3.8684,,
2002,-35.8696,,
2003,2.9818,,
4301,-0.0584,,
4302,0.5282,,
4303,-0.0298,0.0946,
4401,0,0.0678,
4403,0.288,0.1784,
5306,-0.0832,-0.1989,f
4601,-0.246,0.0129,
4602,1.0754,0.2615,t
4701,0.3593,0.3453,t
4702,-0.083,0.2143,t
4703,0.8458,0.4486,t
4704,0.2072,0.2477,t
4501,0.7758,0.3528,t
4402,0.7758,0.3528,t
4801,,,
4802,,,
4901,,,
5001,,,
5101,-0.1015,,
5102,0.3641,,
5103,0.8906,,
5104,-0.1125,0.2024,
5105,0.2885,0.3044,
5106,0.4132,0.3204,
5107,-0.1744,0.0515,
5108,0.4384,0.1905,t
5201,0.078,0.1458,t
5202,0.1379,0.0937,t
5301,0.0537,0.1691,t
5302,-0.0416,0.0522,t
5303,-0.239,-0.0182,f
5304,-0.239,-0.0182,f
5305,-0.0832,-0.1989,f
5307,,,
5308,,,
5309,,,
5401,,,
2701,-0.5539,,
2801,0.4512,,
2802,-0.3931,,
2803,4.4326,-0.0821,
2804,0.5889,0.3844,
2901,0.6034,0.4295,
2902,1.1913,1.0846,
3001,1.6873,1.0803,f
3002,0.3807,0.9594,t
3003,-0.1701,0.6934,t
3004,0.1532,0.4439,t
5501,,,
5502,,,
5503,,,
5505,-0.0239,,
5506,-0.0184,,
5601,0.1116,,
5701,-0.2755,0.5441,t
3901,-0.2755,0.5441,t
5801,,,
5803,0.2493,0.0879,
5504,0.0232,0.0234,
5804,-0.0653,0.0758,
5805,0.0562,0.0613,
5806,0.2909,0.1229,t
5807,0.0358,0.0721,t
5808,0.1895,0.134,t
5809,-0.218,0.0561,t
5810,0.3761,0.0928,t
5901,-0.5929,-0.0718,f
5802,-0.5929,-0.0718,f
